,Região,UF,Cidade,Sexo,Faixa Etária,Data Finalização,Tempo Resposta,Nome Fantasia,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,Respondida,Situação,Avaliação Reclamação,Nota do Consumidor,Total,ï»¿RegiÃ£o,Faixa EtÃ¡ria,Data FinalizaÃ§Ã£o,Ãrea,SituaÃ§Ã£o,AvaliaÃ§Ã£o ReclamaÃ§Ã£o
4494,SE,SP,São Paulo,M,entre 31 a 40 anos,25/11/2019,7.0,Celpe,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4495,NE,BA,Salvador,M,entre 21 a 30 anos,21/11/2019,6.0,Coelba,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Domicílio,N,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4496,NE,CE,Acopiara,F,entre 51 a 60 anos,11/11/2019,10.0,Enel Distribuição Ceará (Coelce),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Loja física,S,S,Finalizada avaliada,Resolvida,4.0,1,,,,,,
4497,S ,SC,Jaraguá do Sul,F,entre 41 a 50 anos,13/11/2019,0.0,Coelba,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Domicílio,N,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4498,CO,MT,Várzea Grande,F,entre 21 a 30 anos,21/11/2019,0.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4499,NE,MA,Bacabal,F,entre 51 a 60 anos,18/11/2019,10.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,5.0,1,,,,,,
4500,S ,RS,Santa Maria,M,entre 21 a 30 anos,14/11/2019,8.0,RGE - Rio Grande Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4501,S ,RS,Santa Maria,F,entre 31 a 40 anos,08/11/2019,9.0,RGE - Rio Grande Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,N,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4502,SE,SP,São Paulo,F,entre 31 a 40 anos,08/11/2019,1.0,Enel Distribuição São Paulo (Eletropaulo),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Domicílio,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4503,S ,PR,Araucária,M,entre 41 a 50 anos,20/11/2019,7.0,Copel - Companhia Paranaense de Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4504,NE,MA,São Domingos do Maranhão,F,entre 31 a 40 anos,29/11/2019,9.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,SAC - Descortesia / despreparo / demora,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4505,CO,MT,Várzea Grande,F,entre 31 a 40 anos,13/11/2019,0.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança submetendo a ofensa, constrangimento ou ameaça",Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4506,CO,GO,Goiânia,F,entre 51 a 60 anos,11/11/2019,10.0,Enel Distribuição Goiás (CELG),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4507,S ,RS,Sapiranga,F,entre 41 a 50 anos,12/11/2019,7.0,RGE - Rio Grande Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Telefone,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4508,NE,BA,Bom Jesus da Lapa,M,entre 31 a 40 anos,20/11/2019,9.0,Coelba,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
